Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
18500162600,21st Century Music,15343219,,,,
21100404576,2D Materials,,20531583,6.05,2.813,1.072
21100447128,3 Biotech,2190572X,21905738,2.23,0.511,1.033
21100779062,3D Printing and Additive Manufacturing,23297662,23297670,2.31,0.808,1.301
21100854154,3D Printing in Medicine,,23656271,,,0.997
21100229836,3D Research,,20926731,1.02,0.222,0.661
19700200922,"3L: Language, Linguistics, Literature",1285157,,0.41,0.251,0.8
145295,4OR,16194500,16142411,1.47,0.825,0.999
21100399164,A & A case reports,23257237,,0.66,0.278,0
16400154734,A + U-Architecture and Urbanism,3899160,,0.02,0.101,0.348
5700161051,A Contrario,16607880,,0.05,0.109,0.007
19600162043,A.M.A. American Journal of Diseases of Children,968994,,,,
19400157806,A.M.A. archives of dermatology,965359,,,,
19600162081,A.M.A. Archives of Dermatology and Syphilology,965979,,,,
19400157807,A.M.A. archives of industrial health,5673933,,,,
19600162082,A.M.A. Archives of Industrial Hygiene and Occupational Medicine,966703,,,,
19400157808,A.M.A. archives of internal medicine,8882479,,,,
19400158171,A.M.A. archives of neurology,3758540,,,,
19400157809,A.M.A. archives of neurology and psychiatry,966886,,,,
19400157810,A.M.A. archives of ophthalmology,966339,,,,
19400157811,A.M.A. archives of otolaryngology,966894,,,,
19400157812,A.M.A. archives of pathology,966711,,,,
19400157813,A.M.A. archives of surgery,966908,,,,
21100456161,a/b: Auto/Biography Studies,21517290,,0.17,0.139,0
11600153683,A|Z ITU Journal of Faculty of Architecture,13028324,,0.22,0.168,0.255
21100780699,A+BE Architecture and the Built Environment,22123202,22147233,0.29,0.14,0.242
5800207606,"AAA, Arbeiten aus Anglistik und Amerikanistik",1715410,,0.03,0.101,0
28033,AAC: Augmentative and Alternative Communication,7434618,14773848,2.43,0.919,1.606
19300156808,AACL Bioflux,18448143,18449166,0.66,0.257,0.751
4700152443,AACN Advanced Critical Care,15597768,,0.63,0.258,0.377
26408,AACN clinical issues,10790713,15389812,,,
51879,AACN clinical issues in critical care nursing,10467467,,,,
26729,AANA Journal,946354,,0.75,0.34,0.823
66438,AANNT journal / the American Association of Nephrology Nurses and Technicians,7441479,,,,
5100155055,AAO Journal,23755776,,0.02,0.101,0.147
27096,AAOHN Journal,8910162,,,,
30787,AAPG Bulletin,1491423,,3.6,1.825,1.978
24508,AAPG Memoir,2718529,,,,
21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",3650359,18251242,0.5,0.185,0.455
18199,AAPPO journal,10545913,,,,
21100853564,AAPS Advances in the Pharmaceutical Sciences Series,22107371,2210738X,0.31,0.198,0.125
4000148019,AAPS Journal,,15507416,3.56,1.118,1.279
