ISSN,T�tulo,Estrato
1413-6090,A ECONOMIA EM REVISTA,B4
1982-5560,A REVISTA CRONOS,B5
1980-4814,"ABCUSTOS (S�O LEOPOLDO, RS)",B5
1012-8255,ACADEMIA (CARACAS),B1
1543-8643,ACADEMY OF MANAGEMENT PROCEEDINGS,C 
1749-3374,ACCOUNTING HISTORY (ONLINE),B5
2319-0698,ACESSO LIVRE,C 
1944-8244,ACS APPLIED MATERIALS & INTERFACES (PRINT),A2
2177-4307,ACTA GEOGRAFICA,B3
0044-5991,ACTA HISTOCHEMICA ET CYTOCHEMICA,B3
2317-8957,ACTA SCIENTIAE ET TECHNICAE,B5
1807-8621,ACTA SCIENTIARUM. AGRONOMY (ONLINE),B2
1807-863X,ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE),B5
1807-8656,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES,B3
1679-7361,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO),B3
1982-422X,ACTA TECNOL�GICA,B5
0001-706X,ACTA TROPICA,B1
2316-7548,ADMINISTRA��O DE EMPRESAS EM REVISTA,B5
2175-5787,ADMINISTRA��O P�BLICA E GEST�O SOCIAL,B3
2237-5139,ADM.MADE,B4
0972-3617,ADVANCES AND APPLICATIONS IN STATISTICS,B5
2255-2863,ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,B5
1983-8611,ADVANCES IN SCIENTIFIC AND APPLIED ACCOUNTING,B2
1993-3738,AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,B4
1991-637X,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,B3
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,B5
1993-8233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,B5
1522-936X,AGBIOFORUM - THE JOURNAL OF AGROBIOTECHNOLOGY MANAGEMENT & ECONOMICS,B1
1981-9862,AGENDA SOCIAL (UENF),B5
0742-4477,"AGRIBUSINESS (NEW YORK, N.Y. PRINT)",A2
1887-9292,AGRICULTURA FAMILIAR EN ESPA�A,B5
0169-5150,AGRICULTURAL ECONOMICS,A1
1316-0354,AGROALIMENTARIA (CARACAS),B3
0100-4298,AGROANALYSIS (FGV),C 
0100-7467,AGROPECU�RIA T�CNICA (UFPB),B5
2158-5571,ALGORITHMIC FINANCE (PRINT),B3
1026-2253,ALTERNATIVES SUD,B5
1809-4058,AMAZ�NIA (BANCO DA AMAZ�NIA. 2005),B5
